script	scriptLabel	language	code	label_en
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q8798	uk	Ukrainian
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q13263	ug	Uyghur
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q9264	uz	Uzbek
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q34208	wbl	Wakhi
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q34299	sah	Yakut
http://www.wikidata.org/entity/Q8209	Cyrillic script	http://www.wikidata.org/entity/Q34186	yah	Yazgulyam
http://www.wikidata.org/entity/Q2733076	Czech Braille	http://www.wikidata.org/entity/Q9056	cs	Czech
http://www.wikidata.org/entity/Q76228	Czech alphabet	http://www.wikidata.org/entity/Q9056	cs	Czech
http://www.wikidata.org/entity/Q912455	Dano-Norwegian alphabet	http://www.wikidata.org/entity/Q25167	nb	Bokmål
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q28378	anp	Angika
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q29579	awa	Awadhi
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33268	bho	Bhojpuri
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33268	bh	Bhojpuri
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33223	brx	Bodo
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q18415595	dty	Doteli
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q46728	hif	Fiji Hindi
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33295	fj	Fijian
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q5575236	gom	Goan Konkani
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33270	hoc	Ho
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33728	mag	Magahi
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q36109	mai	Maithili
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q56312	mwr	Marwari
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33823	ne	Nepali
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33979	new	Newar
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q13201	rmy	Romani
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q33965	sat	Santali
http://www.wikidata.org/entity/Q38592	Devanagari	http://www.wikidata.org/entity/Q2044560	syl	Sylheti
http://www.wikidata.org/entity/Q116688933	Devanagari Sindhi	http://www.wikidata.org/entity/Q33997	sd	Sindhi
http://www.wikidata.org/entity/Q3307073	Dhives Akuru	http://www.wikidata.org/entity/Q32656	dv	Maldivian
http://www.wikidata.org/entity/Q48734357	Dunging script	http://www.wikidata.org/entity/Q33424	iba	Iban
http://www.wikidata.org/entity/Q5316025	Duployan shorthand	http://www.wikidata.org/entity/Q35173	chn	Chinook Jargon
http://www.wikidata.org/entity/Q2297077	Dutch alphabet	http://www.wikidata.org/entity/Q7411	nl	Dutch
http://www.wikidata.org/entity/Q137731311	Dutch eight-dot Braille	http://www.wikidata.org/entity/Q7411	nl	Dutch
http://www.wikidata.org/entity/Q2748494	Dutch six-dot Braille	http://www.wikidata.org/entity/Q7411	nl	Dutch
http://www.wikidata.org/entity/Q5378197	English Braille	http://www.wikidata.org/entity/Q1860	en	English
http://www.wikidata.org/entity/Q754673	English alphabet	http://www.wikidata.org/entity/Q1860	en	English
http://www.wikidata.org/entity/Q4532731	Eskimo alphabet	http://www.wikidata.org/entity/Q29921	iu	Inuktitut
http://www.wikidata.org/entity/Q17089158	Esperanto Braille	http://www.wikidata.org/entity/Q143	eo	Esperanto
http://www.wikidata.org/entity/Q607188	Esperanto alphabet	http://www.wikidata.org/entity/Q143	eo	Esperanto
http://www.wikidata.org/entity/Q17005381	Estonian Braille	http://www.wikidata.org/entity/Q9072	et	Estonian
